Student,LPIPS,SSIM
113590021.png,0.0,1.0
113590031.png,0.23529788851737976,0.6631739411883649
113370239.png,0.2424893081188202,0.6705179043562244
113590039.png,0.2459426373243332,0.6386484573556982
113590001.png,0.25340110063552856,0.6412265176736317
113590022.png,0.2595500349998474,0.6699039212680967
111590047.png,0.26989713311195374,0.6425789615822264
113590061.png,0.28141897916793823,0.6721399542245898
113590051.png,0.28715553879737854,0.6814951765888041
113590015.png,0.2906809151172638,0.6218769184815013
113590026.png,0.29338324069976807,0.6651952898479371
111590062.png,0.2950444519519806,0.6210038406342492
112590454.png,0.2968813180923462,0.6422275946572436
113590045.png,0.3012681007385254,0.6385389466900248
113590003.png,0.30927181243896484,0.6498579401501745
112590040.png,0.31560495495796204,0.6273232363674763
113590052.png,0.31600624322891235,0.6540435994753309
113590050.png,0.31927865743637085,0.5649925982843581
113590060.png,0.322118878364563,0.6557809129335014
113590056.png,0.3323230445384979,0.6124399125901198
113590044.png,0.34235823154449463,0.5864073404016142
112590455.png,0.3498501181602478,0.6077004102151458
113590002.png,0.3501300811767578,0.5947587294395086
113AC1012.png,0.35246360301971436,0.6535629532925065
110590455.png,0.358819842338562,0.6643209112649932
113590028.png,0.35887762904167175,0.5726903177795716
111590028.png,0.3619685173034668,0.6726408148531547
114054809.png,0.36633720993995667,0.6356303953348429
113590023.png,0.3684453070163727,0.558112295042147
113590059.png,0.3785346448421478,0.5142222950388528
113590018.png,0.3895755708217621,0.5904073711317654
113590011.png,0.39272403717041016,0.538180156689244
113590047.png,0.3988339900970459,0.6658580456796738
113590062.png,0.40156909823417664,0.5582300187533132
113590049.png,0.40206265449523926,0.5574557052967438
113590006.png,0.4038704037666321,0.5182857378205896
113590004.png,0.4056982100009918,0.6665703188450508
113590010.png,0.4147510230541229,0.5643825636538714
113590042.png,0.41610074043273926,0.5369149963085393
113590043.png,0.4307074248790741,0.6769262413513094
113590057.png,0.4312957525253296,0.5705925754791095
113590025.png,0.4375911355018616,0.6816088757227412
111590042.png,0.4627887010574341,0.6763610975093892
113590008.png,0.5094748139381409,0.43712591659137534
111590455.png,0.5407757759094238,0.4746721605074783
